Ori,English,China,Thailand,Vietnam
_Add_To_HomeScreen,Add To Home Screen,加載到座面,Add To Home Screen,Add To Home Screen
Account Details,Account Details,帐户详细资料,ข้อมูลบัญชี,Chi tiết tài khoản
 Add,Add,添加到,เพิ่ม,Thêm vào
 Address,Address,地址,ที่อยู่,Địa chỉ
 Addresses,Addresses,地址,ที่อยู่,Địa chỉ
Announcement,Announcement,通知,ประกาศ,Thông báo
BankDetails,BankDetails,银行明细,ข้อมูลบัญชีธนาคาร,Thông tin chi tiết ngân hàng
Bonus,Bonus,奖金,โบนัส,Tiền thưởng
Bonus_Wallet,Bonus Wallet,奖金钱包,วอลเลทโบนัส,Ví tiền thưởng
Bronze,Bronze,铜级,Bronze,Bronze
Change,Change,改变,เปลี่ยนแปลง,Thay đổi
Checkout,Checkout,付款程序,เช็คเอาท์,Thủ tục thanh toán
Choose region,Choose region,选择地区,เลือกภูมิภาค,Chọn vùng
City,City,城市,เขต/อำเภอ,Thành phố
Commissions,Commissions,提成,คอมมิชั่น,Hoa hồng
Company,Company,公司,นิติบุคคล,Công ty
Contact Details,Contact Details,联系方式,รายละเอียดการติดต่อ,Chi tiết liên hệ
Convert,Convert,转变,แปลงคะแนน,Chuyển đổi
Convert Bonus Point to Register Point,Convert Bonus Point to Register Point,将奖励积分转换为注册积分,แปลงคะแนนโบนัสไปเป็นคะแนนลงทะเบียน,Chuyển đổi điểm thưởng thành điểm đăng ký
Direct Recruitment,Direct Recruitment,直推,แนะนำตรง,Đẩy trực tiếp
Direct Recruitment Point,Direct Recruitment Point,直推积分,คะแนน DRP,Điểm đẩy trực tiếp
Eligible,Eligible,符合条件,ได้สิทธิ์,Đủ điều kiện
Eligible Rank,Eligible Rank,合格评级,ผ่านคุณสมบัติตำแหน่ง,Xếp hạng đủ điều kiện
Email,Email,电子邮件,อีเมล,Email
Email address,Email address,电子邮件地址,อีเมล,Địa chỉ email
Empty,Empty,空白,ว่าง,Trống
Full Name (as per IC),Full Name (as per IC),全名（按身份证）,ชื่อ-นามสกุล,Tên đầy đủ (dựa theo CMND)
